id,name,blockchain,category,type,location,target_branch,aliases,priority_schemas
aleo-models,Aleo Models,aleo,l1,github,FlipsideCrypto/aleo-models,docs,aleo|aleo_models,core|defi|price|stats
aptos-models,Aptos Models,aptos,l1,github,FlipsideCrypto/aptos-models,docs,aptos|apt|aptos_models,core|defi|nft|price|stats
arbitrum-models,Arbitrum Models,arbitrum,evm,github,FlipsideCrypto/arbitrum-models,docs,arbitrum|arb|arbitrum_models,core|defi|nft|price|stats|vertex
aurora-models,Aurora Models,aurora,evm,github,FlipsideCrypto/aurora-models,docs,aurora|aurora_models,core|price
avalanche-models,Avalanche Models,avalanche,evm,github,FlipsideCrypto/avalanche-models,docs,avalanche|avax|avalanche_models,core|defi|nft|price|stats|dexalot|vertex
axelar-models,Axelar Models,axelar,ibc,github,FlipsideCrypto/axelar-models,docs,axelar|axelar_models,core|defi|gov|stats|axelscan
base-models,Base Models,base,evm,github,FlipsideCrypto/base-models,docs,base|base_models,core|defi|nft|price|stats|vertex
bitcoin-models,Bitcoin Models,bitcoin,l1,github,FlipsideCrypto/bitcoin-models,docs,bitcoin|btc|bitcoin_models,core|price|gov|stats
blast-models,Blast Models,blast,evm,github,FlipsideCrypto/blast-models,docs,blast|blast_models,core|defi|price|stats|blitz
boba-models,Boba Models,boba,evm,github,FlipsideCrypto/boba-models,docs,boba|boba_models,core|nft|price|stats
bsc-models,BSC Models,bsc,evm,github,FlipsideCrypto/bsc-models,docs,bsc|bnb|binance|bsc_models,core|defi|nft|price|stats
cosmos-models,Cosmos Models,cosmos,ibc,github,FlipsideCrypto/cosmos-models,docs,cosmos|cosmos_models,core|gov|stats
core-models,Core Models,core,evm|bitcoin-l2,github,FlipsideCrypto/core-models,docs,core|core_models,core|defi|nft|price|stats
crosschain-models,Crosschain Models,multi-chain,multi-chain,github,FlipsideCrypto/crosschain-models,docs,crosschain|multi-chain|cross-chain,core|defi|price|stats|cosmos|ens|olas|unifai
eclipse-models,Eclipse Models,eclipse,svm,github,FlipsideCrypto/eclipse-models,docs,eclipse|eclipse_models,core|defi|gov|stats
ethereum-models,Ethereum Models,ethereum,evm,github,FlipsideCrypto/ethereum-models,docs,ethereum|eth|ethereum_models,core|defi|nft|price|stats|beacon_chain|ens|l2|maker|uniswapv3
external-models,External Models,external,multi-chain|external-api,github,FlipsideCrypto/external-models,docs,external|external_models,artemis|avalanche|bitquery|blast|defillama|farcaster|flashbots|layerzero|polymarket|snapshot|tokenflow_starknet|tokenlists
flow-models,Flow Models,flow,l1|evm,github,FlipsideCrypto/flow-models,docs,flow|flow_models|flow_evm,core|defi|nft|price|gov|stats|core_evm|rewards
gnosis-models,Gnosis Models,gnosis,evm,github,FlipsideCrypto/gnosis-models,docs,gnosis|gnosis_models,core|defi|nft|price|stats
ink-models,Ink Models,ink,evm,github,FlipsideCrypto/ink-models,docs,ink|ink_models,core|nft|price|stats
kairos-models,Kairos Models,multi-chain,internal,github,FlipsideCrypto/kairos-models,docs,kairos|metrics,
kaia-models,Kaia Models,kaia,evm,github,FlipsideCrypto/kaia-models,docs,kaia|kaia_models,core|defi|price
mantle-models,Mantle Models,mantle,evm,github,FlipsideCrypto/mantle-models,docs,mantle|mantle_models,core|nft|price|stats|vertex
maya-models,Maya Models,maya,ibc,github,FlipsideCrypto/maya-models,docs,maya|maya_models,core|defi|price|gov
mezo-models,Mezo Models,mezo,evm|bitcoin-l2,github,FlipsideCrypto/mezo-models,docs,mezo|mezo_models,testnet
monad-models,Monad Models,monad,evm,github,FlipsideCrypto/monad-models,docs,monad|monad_models,testnet
movement-models,Movement Models,movement,l1,github,FlipsideCrypto/movement-models,docs,movement|movement_models|m1,core|price|stats
near-models,Near Models,near,l1,github,FlipsideCrypto/near-models,docs,near|near_models,core|defi|nft|price|gov|stats
optimism-models,Optimism Models,optimism,evm,github,FlipsideCrypto/optimism-models,docs,optimism|op|optimism_models,core|defi|nft|price|gov|stats
osmosis-models,Osmosis Models,osmosis,ibc,github,FlipsideCrypto/osmosis-models,docs,osmosis|osmosis_models,core|defi|price|gov|stats
polygon-models,Polygon Models,polygon,evm,github,FlipsideCrypto/polygon-models,docs,polygon|matic|poly|polygon_models,core|defi|nft|price|stats
rise-models,Rise Models,rise,evm,github,FlipsideCrypto/rise-models,docs,rise|rise_models,testnet
ronin-models,Ronin Models,ronin,evm,github,FlipsideCrypto/ronin-models,docs,ronin|ronin_models,core|nft|price
sei-models,Sei Models,sei,l1|evm,github,FlipsideCrypto/sei-models,docs,sei|sei_models,core|defi|nft|price|gov|stats|core_evm|vertex
solana-models,Solana Models,solana,svm,github,FlipsideCrypto/solana-models,docs,solana|sol|solana_models,core|defi|nft|price|gov|stats|marinade
stellar-models,Stellar Models,stellar,l1,github,FlipsideCrypto/stellar-models,docs,stellar|stellar_models,core|defi|price|stats
swell-models,Swell Models,swell,evm,github,FlipsideCrypto/swell-models,docs,swell|swell_models,core|nft
terra-models,Terra Models,terra,ibc,github,FlipsideCrypto/terra-models,docs,terra|terra_models,core|defi|stats|classic
thorchain-models,Thorchain Models,thorchain,ibc,github,FlipsideCrypto/thorchain-models,docs,thorchain|thorchain_models,core|defi|price|gov
ton-models,TON Models,ton,l1,github,FlipsideCrypto/ton-models,docs,ton|ton_models,core|defi|nft